STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/19/22,80,92,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/20/22,79,90,70
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/21/22,78,89,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/22/22,70,73,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/23/22,70,75,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/24/22,72,81,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/25/22,76,86,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/26/22,78,91,70
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/27/22,72,78,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/28/22,71,76,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/29/22,75,89,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/30/22,80,91,72
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/31/22,77,86,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/1/22,74,80,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/2/22,65,69,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/3/22,66,75,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/4/22,71,83,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/5/22,70,72,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/6/22,64,65,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/7/22,65,72,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/8/22,65,71,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/9/22,65,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/10/22,72,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/11/22,74,80,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/12/22,71,76,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/13/22,69,74,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/14/22,72,80,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/15/22,67,72,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/16/22,63,73,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/17/22,61,66,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/18/22,70,84,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/19/22,65,72,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/20/22,61,62,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/21/22,62,69,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/22/22,65,70,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/23/22,56,61,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/24/22,56,69,48
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/25/22,60,70,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/26/22,66,75,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/27/22,65,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/28/22,63,72,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/29/22,59,65,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/30/22,54,59,48
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/1/22,55,58,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/2/22,56,58,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/3/22,,56,52
